status,generationTime,id,output,meta
success,4.90827751159668,12775677,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/7c70ce1e-c9cb-45f4-9363-4bbe4f1cedf3-0.png'],"{'H': 1024, 'W': 1024, 'enable_attention_slicing': 'true', 'file_prefix': '7c70ce1e-c9cb-45f4-9363-4bbe4f1cedf3', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a foggy daytime mountain (canyon) landscape with night lighting, taken from a low angle close-up and with foggy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 2309107202, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,3.736389398574829,12778048,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/05b0e765-4a9a-4bc4-9f83-f6f2f02d9cf1-0.png'],"{'H': 1024, 'W': 1024, 'enable_attention_slicing': 'true', 'file_prefix': '05b0e765-4a9a-4bc4-9f83-f6f2f02d9cf1', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a rainy nighttime mountain (valley) landscape with night lighting, taken from a high angle medium shot and with foggy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 2691563455, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,5.012771368026733,12778177,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/c6b798e3-1888-4242-a7d7-e1a95b79804a-0.png'],"{'H': 1024, 'W': 1024, 'enable_attention_slicing': 'true', 'file_prefix': 'c6b798e3-1888-4242-a7d7-e1a95b79804a', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a stormy dusk mountain (canyon) landscape with overcast lighting, taken from a wide angle medium shot and with foggy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 2806787424, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,2.715142250061035,12778389,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/d2cbbd08-dc5a-4570-b1a5-ce8694edc802-0.png'],"{'H': 1024, 'W': 1024, 'enable_attention_slicing': 'true', 'file_prefix': 'd2cbbd08-dc5a-4570-b1a5-ce8694edc802', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a cloudy nighttime mountain (range) landscape with morning lighting, taken from a wide angle medium shot and with snowy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 1228709919, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,2.771418809890747,12778449,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/1e623ae0-200e-4fcd-badd-810750bb9996-0.png'],"{'H': 1024, 'W': 1024, 'enable_attention_slicing': 'true', 'file_prefix': '1e623ae0-200e-4fcd-badd-810750bb9996', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a snowy daytime mountain (range) landscape with night lighting, taken from a wide angle medium shot and with snowy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 3305684132, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,7.624366521835327,12778476,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/21cc66bd-235a-4f68-aea8-acc969ab2644-0.png'],"{'H': 1024, 'W': 1024, 'enable_attention_slicing': 'true', 'file_prefix': '21cc66bd-235a-4f68-aea8-acc969ab2644', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a stormy daytime mountain (canyon) landscape with night lighting, taken from a low angle close-up and with windy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 463309299, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,7.675691366195679,12778840,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/6da55284-58f2-4c19-9e3e-778728a86975-0.png'],"{'H': 512, 'W': 512, 'enable_attention_slicing': 'true', 'file_prefix': '6da55284-58f2-4c19-9e3e-778728a86975', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a rainy nighttime mountain (peak) landscape with morning lighting, taken from a low angle medium shot and with snowy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 3785575713, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,10.408870220184326,12778870,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/b9bd504e-32a5-437e-8951-1ab5203279e8-0.png'],"{'H': 512, 'W': 512, 'enable_attention_slicing': 'true', 'file_prefix': 'b9bd504e-32a5-437e-8951-1ab5203279e8', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a rainy daytime mountain (canyon) landscape with morning lighting, taken from a telephoto medium shot and with windy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 3375183202, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,6.127167701721191,12778892,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/3de26f5d-5485-46e2-ae81-be6413c8fe91-0.png'],"{'H': 512, 'W': 512, 'enable_attention_slicing': 'true', 'file_prefix': '3de26f5d-5485-46e2-ae81-be6413c8fe91', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a foggy nighttime mountain (peak) landscape with midday lighting, taken from a low angle long shot and with snowy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 234346385, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
success,3.443230628967285,12778914,['https://pub-8b49af329fae499aa563997f5d4068a4.r2.dev/generations/f414ada8-c218-4f06-a928-9fdf0c8481ec-0.png'],"{'H': 512, 'W': 512, 'enable_attention_slicing': 'true', 'file_prefix': 'f414ada8-c218-4f06-a928-9fdf0c8481ec', 'guidance_scale': 7.5, 'model': 'runwayml/stable-diffusion-v1-5', 'n_samples': 1, 'negative_prompt': '((out of frame)), ((extra fingers)), mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), (((tiling))), ((naked)), ((tile)), ((fleshpile)), ((ugly)), (((abstract))), blurry, ((bad anatomy)), ((bad proportions)), ((extra limbs)), cloned face, (((skinny))), glitchy, ((extra breasts)), ((double torso)), ((extra arms)), ((extra hands)), ((mangled fingers)), ((missing breasts)), (missing lips), ((ugly face)), ((fat)), ((extra legs)), anime', 'outdir': 'out', 'prompt': 'Generate a photo-realistic image of a cloudy daytime mountain (valley) landscape with morning lighting, taken from a telephoto close-up and with windy environmental conditions.', 'revision': 'fp16', 'safetychecker': 'yes', 'seed': 2327970957, 'steps': 20, 'vae': 'stabilityai/sd-vae-ft-mse'}"
